Ship-to party,Name ship-to party,Street,City,Sales Man Name,Channel
15000762,العثيم فرع - 81/ الاحساء,العثيم مول / الاحساء المبرز,Ahsa,RAYADH NASS,Key Account
15002976,الدانوب 149 الموسى,الاحساء - المبرز - حى مشرفة - شارع مشرفة,Ahsa,HADI Qassim ALHUSSAIN,Key Account
11008791,تموينات زين الشمال للمواد الغذائية,عرعر شارع النسيم شارع الامير فهد,Arar,MOHAMMAD ABDULLAH ALDUAIS,Pre-Sale
15000538,م.حمزة حسن العقيل للتجارة - القيصوم,القيصومة - الشارع العام (م.حمزة حسن العقيل للتجارة ),Qaisumah,Burhan Jaber,GT Key Account
15002176,ف.م عبدالمجيدسعيدابوالجدايل للصيانه,مطار الملك فهد - الدور الثاني قرب مطعم الموظفين (م.عبدالمجيد,Dammam,Mohammed algoshiery,BI
15004178,بن داود العزيزية,العزيزيه الشارع العام,Makkah,عمر Salmeen Badhdoh,Key Account
15005286,ابداع القصر/ابحر,جدة ابحر الشمالية مانويل,Jeddah,Fahd Rashed,Key Account
11005746,عبدالعزيزطوقان سلامه النزاوي,الحلقة - سوق الخضار ( ثلاجة النزاوي),Madina,Amin Alrahabi,Wholesale
15002778,نستو بساتين مول,البساتين مول شقراء شارع الملك سعود,Shaqraa,Tarek MOHAMMED Alkhdshy,GT Key Account
15005001,مؤسسة الحياة الحيوية التجارية/العلي,حي صلاح الدين شارع الامير ناصر بن فرحان /بيوتك,Riyadh,Ahmed Alnajjar,HORECA
11008773,مطاعم الريحان الاخضر لتقديم الوجبات,الزلفي طريق الملك عبدالله حي الفاروق,Zulfi,Syed Ali,HORECA
15005242,شركة امريكان اكسبريس السعودية,الرياض الواحة طريق الملك عبدالله,Riyadh,Abdulrahman Hussain Al Jrady,BI
11008086,تموينات عبدالرحمن بن عواض بن عوض,ام العراد طريق الشفا/مركز العبور السياحي للمواد الغذائية,Taif,Yousef Faisal Alhabeli,Pre-Sale
11004047,شركة خالد ابراهيم علي البابطين للت,الرياض حي النسيم شارع الاربعين,Riyadh,Mahmoud Mohamed,BI
